date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:03	109738/109738	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:00%20GMT	https://www.microsoft.com/ar-sa/software-download/windows10?34de222e-6944-44aa-8f45-8e96988880a4=True&53fd98d9-d593-4fa0-846f-69aa08eed05c=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows1013f2.html	(from https://www.microsoft.com/ar-sa/software-download/windows10?34de222e-6944-44aa-8f45-8e96988880a4=True)
17:47:04	109735/109735	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:02%20GMT	https://www.microsoft.com/ar-sa/software-download/windows10?34de222e-6944-44aa-8f45-8e96988880a4=True&774b232c-a48d-452a-a8fb-3906dc168d5c=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows109732.html	(from https://www.microsoft.com/ar-sa/software-download/windows10?34de222e-6944-44aa-8f45-8e96988880a4=True)
17:47:06	109738/109738	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:03%20GMT	https://www.microsoft.com/ar-sa/software-download/windows10?53fd98d9-d593-4fa0-846f-69aa08eed05c=True&774b232c-a48d-452a-a8fb-3906dc168d5c=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows10569a.html	(from https://www.microsoft.com/ar-sa/software-download/windows10?53fd98d9-d593-4fa0-846f-69aa08eed05c=True)
17:47:09	76772/76772	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:05%20GMT	https://www.microsoft.com/ar-sa/software-download/	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/index.html	(from https://www.microsoft.com/ar-sa/software-download/locale)
17:47:10	1531/1531	---M-Z	200	added ('OK')	text/css	etag:0x8D6EEC3A2D67C35	https://statics-marketingsites-eus-ms-com.akamaized.net/statics/override.css?c=7	C:/Users/KSC/Desktop/0/hjjjjjjj/statics-marketingsites-eus-ms-com.akamaized.net/statics/override4abb.css	(from https://www.microsoft.com/ar-sa/software-download/faq?1e76ff9e-089c-11e5-a6c0-1697f925ec7b=True)
17:47:12	95638/95638	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:10%20GMT	https://www.microsoft.com/ar-sa/software-download/windows10ISO?7d5c905c-2314-414e-8702-8441e26eb0ae=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows10ISOf7ac.html	(from https://www.microsoft.com/ar-sa/software-download/windows10ISO)
17:47:13	95635/95635	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:11%20GMT	https://www.microsoft.com/ar-sa/software-download/windows10ISO?4cd9df4f-deef-4431-9497-a04303f34986=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows10ISO281b.html	(from https://www.microsoft.com/ar-sa/software-download/windows10ISO)
17:47:15	95638/95638	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:12%20GMT	https://www.microsoft.com/ar-sa/software-download/windows10ISO?774b232c-a48d-452a-a8fb-3906dc168d5c=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows10ISOdb3c.html	(from https://www.microsoft.com/ar-sa/software-download/windows10ISO)
17:47:16	91403/91403	---M-Z	200	added ('OK')	text/html	date:Thu,%2004%20Jun%202020%2016:47:14%20GMT	https://www.microsoft.com/ar-sa/software-download/windows8ISO?4cd9df4f-deef-4431-9497-a04303f34986=True	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/windows8ISO281b.html	(from https://www.microsoft.com/ar-sa/software-download/windows8ISO)
17:47:17	185/185	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2004%20Jun%202020%2016:47:14%20GMT	https://www.microsoft.com/ar-sa/software-download/vlacademicISO	C:/Users/KSC/Desktop/0/hjjjjjjj/www.microsoft.com/ar-sa/software-download/vlacademicISO	(from https://www.microsoft.com/ar-sa/software-download/windows8ISO)
